학습 항목 166개 · 사진 있음 41개 · 없음 125개
퀘스트가 참조하는 항목 72개 중 사진 있음 18개

사진이 필요한 항목 (퀘스트가 쓰는 것 먼저)
id	종류	시대	분류	이름
gosanri		neo	relic	제주 고산리
nongsa		neo	life	농사와 가축 기르기
ganseok		neo	life	갈아서 만든 도구
byeongin		open	event	병인양요
sinmi		open	event	신미양요
gapsin		open	event	갑신정변
donghak		open	event	동학 농민 운동
eulmi		open	event	을미사변
eulsa		open	event	을사늑약
hague		open	event	헤이그 특사
ahn		open	person	안중근 의거
sindolseok		open	person	신돌석과 의병
seokjangni		paleo	relic	공주 석장리
suyanggae		paleo	relic	단양 수양개
makjip		paleo	life	동굴과 막집
tteon		paleo	life	돌을 깨서 만든 도구
munmu		unified	person	문무왕과 삼국 통일
kimyusin		unified	person	김유신
gameunsa		unified	relic	감은사지 삼층석탑
sanggyeong		unified	relic	발해 상경성
haedong		unified	culture	해동성국 발해
jangbogo		unified	person	장보고와 청해진
uisang		unified	person	원효와 의상
war-start		war	event	전쟁이 시작되다
nakdong		war	event	낙동강 방어선
incheon		war	event	인천 상륙 작전
china-in		war	event	중국군 개입과 1·4 후퇴
